x,y,z,n1,n2,n3
1,2.5,5,0.1,0.8,-0.6
2,1.625,4,0.1,0.8,-0.6
2,2.375,5,0.1,0.8,-0.6
1,2.5,5,-0.12,-0.96,0.24
1,2.75,6,-0.12,-0.96,0.24
2,2.375,5,-0.12,-0.96,0.24
1,2.75,6,0.12,0.96,-0.24
2,2.375,5,0.12,0.96,-0.24
2,2.625,6,0.12,0.96,-0.24
1,2.75,6,-0.08,-0.62,-0.78
1,1.5,7,-0.08,-0.62,-0.78
2,2.625,6,-0.08,-0.62,-0.78
1,1.5,7,-0.18,0.74,0.65
2,2.625,6,-0.18,0.74,0.65
2,1.75,7,-0.18,0.74,0.65
1,1.5,7,0.24,-0.97,0.0
1,1.5,8,0.24,-0.97,0.0
2,1.75,7,0.24,-0.97,0.0
1,1.5,8,-0.24,0.97,0.0
2,1.75,7,-0.24,0.97,0.0
2,1.75,8,-0.24,0.97,0.0
1,1.5,8,0.24,-0.94,-0.24
1,1.25,9,0.24,-0.94,-0.24
2,1.75,8,0.24,-0.94,-0.24
1,1.25,9,-0.45,0.89,0.0
2,1.75,8,-0.45,0.89,0.0
2,1.75,9,-0.45,0.89,0.0
1,1.25,9,0.39,-0.78,0.49
1,1.875,10,0.39,-0.78,0.49
2,1.75,9,0.39,-0.78,0.49
1,1.875,10,-0.32,0.85,-0.42
2,1.75,9,-0.32,0.85,-0.42
2,2.25,10,-0.32,0.85,-0.42
1,1.875,10,0.35,-0.94,0.0
1,1.875,11,0.35,-0.94,0.0
2,2.25,10,0.35,-0.94,0.0
1,1.875,11,0.0,0.94,0.35
2,2.25,10,0.0,0.94,0.35
2,1.875,11,0.0,0.94,0.35
1,1.875,11,0.0,-0.94,0.35
1,2.25,12,0.0,-0.94,0.35
2,1.875,11,0.0,-0.94,0.35
1,2.25,12,0.12,0.96,-0.24
2,1.875,11,0.12,0.96,-0.24
2,2.125,12,0.12,0.96,-0.24
1,2.25,12,-0.11,-0.89,-0.44
1,1.75,13,-0.11,-0.89,-0.44
2,2.125,12,-0.11,-0.89,-0.44
1,1.75,13,-0.12,0.96,0.24
2,2.125,12,-0.12,0.96,0.24
2,1.875,13,-0.12,0.96,0.24
1,1.75,13,0.1,-0.8,0.6
1,2.5,14,0.1,-0.8,0.6
2,1.875,13,0.1,-0.8,0.6
1,2.5,14,-0.26,0.68,-0.68
2,1.875,13,-0.26,0.68,-0.68
2,2.875,14,-0.26,0.68,-0.68
1,2.5,14,0.34,-0.91,-0.23
1,2.25,15,0.34,-0.91,-0.23
2,2.875,14,0.34,-0.91,-0.23
1,2.25,15,-0.34,0.91,0.23
2,2.875,14,-0.34,0.91,0.23
2,2.625,15,-0.34,0.91,0.23
1,2.25,15,0.26,-0.68,0.68
1,3.25,16,0.26,-0.68,0.68
2,2.625,15,0.26,-0.68,0.68
1,3.25,16,-0.26,0.68,-0.68
2,2.625,15,-0.26,0.68,-0.68
2,3.625,16,-0.26,0.68,-0.68
1,3.25,16,0.33,-0.88,-0.33
1,2.875,17,0.33,-0.88,-0.33
2,3.625,16,0.33,-0.88,-0.33
1,2.875,17,0.24,0.64,0.73
2,3.625,16,0.24,0.64,0.73
2,2.5,17,0.24,0.64,0.73
1,2.875,17,-0.34,-0.91,0.23
1,3.125,18,-0.34,-0.91,0.23
2,2.5,17,-0.34,-0.91,0.23
1,3.125,18,0.23,0.91,-0.34
2,2.5,17,0.23,0.91,-0.34
2,2.875,18,0.23,0.91,-0.34
1,3.125,18,-0.24,-0.94,-0.24
1,2.875,19,-0.24,-0.94,-0.24
2,2.875,18,-0.24,-0.94,-0.24
1,2.875,19,0.24,0.94,0.24
2,2.875,18,0.24,0.94,0.24
2,2.625,19,0.24,0.94,0.24
1,2.875,19,-0.24,-0.94,-0.24
1,2.625,20,-0.24,-0.94,-0.24
2,2.625,19,-0.24,-0.94,-0.24
