x,y,z,n1,n2,n3
0.2,1.375,8.200000000000001,0.53,-0.6,0.6
0.0,1.4,8.4,-0.64,0.36,-0.68
0.2,1.375,8.200000000000001,-0.64,0.36,-0.68
0.2,1.75,8.4,-0.64,0.36,-0.68
0.0,1.4,8.4,0.39,-0.22,-0.89
0.0,0.6,8.6,0.39,-0.22,-0.89
0.2,1.75,8.4,0.39,-0.22,-0.89
0.0,0.6,8.6,-0.46,0.23,0.86
0.2,1.75,8.4,-0.46,0.23,0.86
0.2,1.0,8.6,-0.46,0.23,0.86
0.0,0.6,8.6,0.53,-0.27,0.8
0.0,1.2,8.8,0.53,-0.27,0.8
0.2,1.0,8.6,0.53,-0.27,0.8
0.0,1.2,8.8,-0.38,0.44,-0.82
0.2,1.0,8.6,-0.38,0.44,-0.82
0.2,1.375,8.8,-0.38,0.44,-0.82
0.0,1.2,8.8,0.66,-0.75,0.0
0.0,1.2,9.0,0.66,-0.75,0.0
0.2,1.375,8.8,0.66,-0.75,0.0
0.0,1.2,9.0,0.52,0.32,0.79
0.2,1.375,8.8,0.52,0.32,0.79
0.2,0.875,9.0,0.52,0.32,0.79
0.0,1.2,9.0,-0.37,-0.23,0.9
0.0,2.0,9.200000000000001,-0.37,-0.23,0.9
0.2,0.875,9.0,-0.37,-0.23,0.9
0.0,2.0,9.200000000000001,0.44,0.23,-0.87
0.2,0.875,9.0,0.44,0.23,-0.87
0.2,1.625,9.200000000000001,0.44,0.23,-0.87
0.0,2.0,9.200000000000001,-0.64,-0.34,-0.69
0.0,1.6,9.4,-0.64,-0.34,-0.69
0.2,1.625,9.200000000000001,-0.64,-0.34,-0.69
0.0,1.6,9.4,0.39,0.78,0.49
0.2,1.625,9.200000000000001,0.39,0.78,0.49
0.2,1.5,9.4,0.39,0.78,0.49
0.0,1.6,9.4,-0.22,-0.44,-0.87
0.0,1.2,9.600000000000001,-0.22,-0.44,-0.87
0.2,1.5,9.4,-0.22,-0.44,-0.87
0.0,1.2,9.600000000000001,-0.15,0.62,0.77
0.2,1.5,9.4,-0.15,0.62,0.77
0.2,1.25,9.600000000000001,-0.15,0.62,0.77
0.0,1.2,9.600000000000001,0.17,-0.7,-0.7
0.0,1.0,9.8,0.17,-0.7,-0.7
0.2,1.25,9.600000000000001,0.17,-0.7,-0.7
0.0,1.0,9.8,0.0,0.62,0.78
0.2,1.25,9.600000000000001,0.0,0.62,0.78
0.2,1.0,9.8,0.0,0.62,0.78
0.0,1.0,9.8,0.0,-0.32,-0.95
0.0,0.4,10.0,0.0,-0.32,-0.95
0.2,1.0,9.8,0.0,-0.32,-0.95
0.0,0.4,10.0,-0.47,0.42,0.78
0.2,1.0,9.8,-0.47,0.42,0.78
0.2,0.625,10.0,-0.47,0.42,0.78
0.0,0.4,10.0,0.62,-0.55,0.55
0.0,0.6,10.200000000000001,0.62,-0.55,0.55
0.2,0.625,10.0,0.62,-0.55,0.55
0.0,0.6,10.200000000000001,-0.7,0.27,-0.66
0.2,0.625,10.0,-0.7,0.27,-0.66
0.2,1.125,10.200000000000001,-0.7,0.27,-0.66
0.0,0.6,10.200000000000001,0.76,-0.29,-0.58
0.0,0.2,10.4,0.76,-0.29,-0.58
0.2,1.125,10.200000000000001,0.76,-0.29,-0.58
0.0,0.2,10.4,-0.96,0.24,0.15
0.2,1.125,10.200000000000001,-0.96,0.24,0.15
0.2,1.0,10.4,-0.96,0.24,0.15
0.0,0.2,10.4,0.7,-0.17,0.7
0.0,1.0,10.600000000000001,0.7,-0.17,0.7
0.2,1.0,10.4,0.7,-0.17,0.7
0.0,1.0,10.600000000000001,-0.62,0.49,-0.62
0.2,1.0,10.4,-0.62,0.49,-0.62
0.2,1.25,10.600000000000001,-0.62,0.49,-0.62
0.0,1.0,10.600000000000001,0.66,-0.53,0.53
0.0,1.2,10.8,0.66,-0.53,0.53
0.2,1.25,10.600000000000001,0.66,-0.53,0.53
0.0,1.2,10.8,-0.68,0.46,-0.57
0.2,1.25,10.600000000000001,-0.68,0.46,-0.57
0.2,1.5,10.8,-0.68,0.46,-0.57
0.0,1.2,10.8,0.73,-0.49,0.49
0.0,1.4,11.0,0.73,-0.49,0.49
0.2,1.5,10.8,0.73,-0.49,0.49
0.0,1.4,11.0,0.11,0.84,0.53
0.2,1.5,10.8,0.11,0.84,0.53
0.2,1.375,11.0,0.11,0.84,0.53
0.0,1.4,11.0,-0.03,-0.24,0.97
0.0,2.2,11.200000000000001,-0.03,-0.24,0.97
0.2,1.375,11.0,-0.03,-0.24,0.97
0.0,2.2,11.200000000000001,-0.06,0.22,-0.97
0.2,1.375,11.0,-0.06,0.22,-0.97
0.2,2.25,11.200000000000001,-0.06,0.22,-0.97
0.0,2.2,11.200000000000001,0.04,-0.16,-0.99
0.0,1.0,11.4,0.04,-0.16,-0.99
0.2,2.25,11.200000000000001,0.04,-0.16,-0.99
0.0,1.0,11.4,-0.69,0.22,0.69
0.2,2.25,11.200000000000001,-0.69,0.22,0.69
0.2,1.625,11.4,-0.69,0.22,0.69
0.0,1.0,11.4,0.7,-0.22,0.67
0.0,1.6,11.600000000000001,0.7,-0.22,0.67
0.2,1.625,11.4,0.7,-0.22,0.67
0.0,1.6,11.600000000000001,-0.69,0.34,-0.64
0.2,1.625,11.4,-0.69,0.34,-0.64
0.2,2.0,11.600000000000001,-0.69,0.34,-0.64
0.0,1.6,11.600000000000001,0.82,-0.41,-0.41
0.0,1.4,11.8,0.82,-0.41,-0.41
0.2,2.0,11.600000000000001,0.82,-0.41,-0.41
0.0,1.4,11.8,-0.74,0.42,0.53
0.2,2.0,11.600000000000001,-0.74,0.42,0.53
0.2,1.75,11.8,-0.74,0.42,0.53
0.0,1.4,11.8,0.78,-0.44,-0.44
0.0,1.2,12.0,0.78,-0.44,-0.44
0.2,1.75,11.8,0.78,-0.44,-0.44
0.0,1.2,12.0,-0.09,0.37,0.92
0.2,1.75,11.8,-0.09,0.37,0.92
0.2,1.25,12.0,-0.09,0.37,0.92
0.0,1.2,12.0,0.11,-0.44,0.89
0.0,1.6,12.200000000000001,0.11,-0.44,0.89
0.2,1.25,12.0,0.11,-0.44,0.89
0.0,1.6,12.200000000000001,-0.39,0.28,-0.88
0.2,1.25,12.0,-0.39,0.28,-0.88
0.2,1.875,12.200000000000001,-0.39,0.28,-0.88
0.0,1.6,12.200000000000001,0.81,-0.59,0.0
0.0,1.6,12.4,0.81,-0.59,0.0
0.2,1.875,12.200000000000001,0.81,-0.59,0.0
0.0,1.6,12.4,0.52,0.22,0.82
0.2,1.875,12.200000000000001,0.52,0.22,0.82
0.2,1.125,12.4,0.52,0.22,0.82
0.0,1.6,12.4,-0.86,-0.36,-0.36
0.0,1.4,12.600000000000001,-0.86,-0.36,-0.36
0.2,1.125,12.4,-0.86,-0.36,-0.36
0.0,1.4,12.600000000000001,-0.56,0.19,-0.81
0.2,1.125,12.4,-0.56,0.19,-0.81
0.2,2.0,12.600000000000001,-0.56,0.19,-0.81
0.0,1.4,12.600000000000001,0.59,-0.2,0.78
0.0,2.2,12.8,0.59,-0.2,0.78
0.2,2.0,12.600000000000001,0.59,-0.2,0.78
0.0,2.2,12.8,0.79,0.23,0.57
0.2,2.0,12.600000000000001,0.79,0.23,0.57
0.2,1.5,12.8,0.79,0.23,0.57
0.0,2.2,12.8,-0.93,-0.26,-0.26
0.0,2.0,13.0,-0.93,-0.26,-0.26
0.2,1.5,12.8,-0.93,-0.26,-0.26
0.0,2.0,13.0,0.94,0.3,0.19
0.2,1.5,12.8,0.94,0.3,0.19
0.2,1.375,13.0,0.94,0.3,0.19
0.0,2.0,13.0,-0.52,-0.17,-0.84
0.0,1.0,13.200000000000001,-0.52,-0.17,-0.84
0.2,1.375,13.0,-0.52,-0.17,-0.84
0.0,1.0,13.200000000000001,-0.36,0.58,0.73
0.2,1.375,13.0,-0.36,0.58,0.73
0.2,1.125,13.200000000000001,-0.36,0.58,0.73
0.0,1.0,13.200000000000001,0.53,-0.85,0.0
0.0,1.0,13.4,0.53,-0.85,0.0
0.2,1.125,13.200000000000001,0.53,-0.85,0.0
0.0,1.0,13.4,0.51,0.41,0.76
0.2,1.125,13.200000000000001,0.51,0.41,0.76
0.2,0.75,13.4,0.51,0.41,0.76
0.0,1.0,13.4,-0.37,-0.29,-0.88
0.0,0.4,13.600000000000001,-0.37,-0.29,-0.88
0.2,0.75,13.4,-0.37,-0.29,-0.88
0.0,0.4,13.600000000000001,0.06,0.47,0.88
0.2,0.75,13.4,0.06,0.47,0.88
0.2,0.375,13.600000000000001,0.06,0.47,0.88
0.0,0.4,13.600000000000001,-0.02,-0.16,0.99
0.0,1.6,13.8,-0.02,-0.16,0.99
0.2,0.375,13.600000000000001,-0.02,-0.16,0.99
0.0,1.6,13.8,0.52,0.22,-0.82
0.2,0.375,13.600000000000001,0.52,0.22,-0.82
0.2,1.125,13.8,0.52,0.22,-0.82
